"public_id_efetivo","slug_catalogo","nome_oficial","grupamento","origem"
"tr_ex_global_supino_reto","supino-reto-barra","Supino reto com barra","Peitoral","historico"
"tr_ex_global_supino-inclinado-barra","supino-inclinado-barra","Supino inclinado com barra","Peitoral","novo"
"tr_ex_global_supino-reto-halteres","supino-reto-halteres","Supino reto com halteres","Peitoral","novo"
"tr_ex_global_supino-inclinado-halteres","supino-inclinado-halteres","Supino inclinado com halteres","Peitoral","novo"
"tr_ex_global_crucifixo","crucifixo-reto-halteres","Crucifixo reto com halteres","Peitoral","historico"
"tr_ex_global_crucifixo-inclinado-halteres","crucifixo-inclinado-halteres","Crucifixo inclinado com halteres","Peitoral","novo"
"tr_ex_global_crossover-cabo","crossover-cabo","Crossover no cabo","Peitoral","novo"
"tr_ex_global_peck-deck","peck-deck","Peck deck","Peitoral","novo"
"tr_ex_global_chest-press-maquina","chest-press-maquina","Chest press máquina","Peitoral","novo"
"tr_ex_global_flexao-bracos","flexao-bracos","Flexão de braços","Peitoral","novo"
"tr_ex_global_puxada_frente","puxada-frontal-pronada","Puxada frontal pronada","Costas","historico"
"tr_ex_global_puxada-frontal-neutra","puxada-frontal-neutra","Puxada frontal neutra","Costas","novo"
"tr_ex_global_barra-fixa","barra-fixa","Barra fixa","Costas","novo"
"tr_ex_global_remada-curvada-barra","remada-curvada-barra","Remada curvada com barra","Costas","novo"
"tr_ex_global_remada-unilateral-halter","remada-unilateral-halter","Remada unilateral com halter","Costas","novo"
"tr_ex_global_remada_baixa","remada-baixa-cabo","Remada baixa no cabo","Costas","historico"
"tr_ex_global_remada-articulada-maquina","remada-articulada-maquina","Remada articulada máquina","Costas","novo"
"tr_ex_global_remada-t-bar","remada-t-bar","Remada T-bar","Costas","novo"
"tr_ex_global_pulldown-unilateral","pulldown-unilateral","Pulldown unilateral","Costas","novo"
"tr_ex_global_pullover-cabo","pullover-cabo","Pullover no cabo","Costas","novo"
"tr_ex_global_desenvolvimento","desenvolvimento-halteres","Desenvolvimento com halteres","Ombros","historico"
