"public_id_efetivo","slug_catalogo","nome_oficial","grupamento","fonte","url_original","autor","licenca_proveniencia","classificacao","lote","mp4","poster"
"tr_ex_global_supino_reto","supino-reto-barra","Supino reto com barra","Peitoral","wikimedia","https://commons.wikimedia.org/wiki/File:Bench_press_-_exercise_demonstration_video.webm","FitnessScape","CC BY 3.0","A","1","supino-reto-barra.mp4","supino-reto-barra.webp"
"tr_ex_global_supino-inclinado-barra","supino-inclinado-barra","Supino inclinado com barra","Peitoral","wikimedia","https://commons.wikimedia.org/wiki/File:Incline_press_-_exercise_demonstration_video.webm","FitnessScape","CC BY 3.0","A","1","supino-inclinado-barra.mp4","supino-inclinado-barra.webp"
"tr_ex_global_supino-reto-halteres","supino-reto-halteres","Supino reto com halteres","Peitoral","wikimedia","https://commons.wikimedia.org/wiki/File:Video_showing_how_to_perform_the_dumbbell_bench_press_and_the_dumbbell_incline_bench_press.webm","Gantner626","CC BY-SA 4.0","B","1","supino-reto-halteres.mp4","supino-reto-halteres.webp"
"tr_ex_global_supino-inclinado-halteres","supino-inclinado-halteres","Supino inclinado com halteres","Peitoral","wikimedia","https://commons.wikimedia.org/wiki/File:Video_showing_how_to_perform_the_dumbbell_bench_press_and_the_dumbbell_incline_bench_press.webm","Gantner626","CC BY-SA 4.0","B","1","supino-inclinado-halteres.mp4","supino-inclinado-halteres.webp"
"tr_ex_global_chest-press-maquina","chest-press-maquina","Chest press máquina","Peitoral","wikimedia","https://commons.wikimedia.org/wiki/File:Muscle_Strengthening_at_the_Gym_-_Chest_Press.webm","Centers for Disease Control and Prevention","Public domain","B","3","chest-press-maquina.mp4","chest-press-maquina.webp"
"tr_ex_global_barra-fixa","barra-fixa","Barra fixa","Costas","wikimedia","https://commons.wikimedia.org/wiki/File:Pull-ups_-_exercise_demonstration_video.webm","FitnessScape","CC BY 3.0","A","1","barra-fixa.mp4","barra-fixa.webp"
"tr_ex_global_remada-curvada-barra","remada-curvada-barra","Remada curvada com barra","Costas","wikimedia","https://commons.wikimedia.org/wiki/File:Bent-over_row_-_exercise_demonstration_video.webm","FitnessScape","CC BY 3.0","A","1","remada-curvada-barra.mp4","remada-curvada-barra.webp"
"tr_ex_global_remada-t-bar","remada-t-bar","Remada T-bar","Costas","wikimedia","https://commons.wikimedia.org/wiki/File:How_to_do_a_T-Bar_Row_in_strength_training_workouts.webm","FitnessScape","CC BY 3.0","B","3","remada-t-bar.mp4","remada-t-bar.webp"
"tr_ex_global_desenvolvimento","desenvolvimento-halteres","Desenvolvimento com halteres","Ombros","wikimedia","https://commons.wikimedia.org/wiki/File:How_To_Properly_Dumbbell_Shoulder_Press.webm","Colossus Fitness","CC BY 3.0","B","3","desenvolvimento-halteres.mp4","desenvolvimento-halteres.webp"
"tr_ex_global_desenvolvimento-barra","desenvolvimento-barra","Desenvolvimento com barra","Ombros","wikimedia","https://commons.wikimedia.org/wiki/File:Shoulder_press_-_exercise_demonstration_video.webm","FitnessScape","CC BY 3.0","B","1","desenvolvimento-barra.mp4","desenvolvimento-barra.webp"
"tr_ex_global_rosca_direta","rosca-direta-barra","Rosca direta com barra","Bíceps","wikimedia","https://commons.wikimedia.org/wiki/File:Video_of_EZ_Bar_Curl_and_Straight_Bar_Curl.webm","Colossus Fitness","CC BY 3.0","B","1","rosca-direta-barra.mp4","rosca-direta-barra.webp"
"tr_ex_global_rosca-direta-ez","rosca-direta-ez","Rosca direta barra EZ","Bíceps","wikimedia","https://commons.wikimedia.org/wiki/File:Video_of_EZ_Bar_Curl_and_Straight_Bar_Curl.webm","Colossus Fitness","CC BY 3.0","B","1","rosca-direta-ez.mp4","rosca-direta-ez.webp"
"tr_ex_global_rosca-scott","rosca-scott","Rosca Scott","Bíceps","wikimedia","https://commons.wikimedia.org/wiki/File:PreacherBenchBicepsCurl.gif","Mohamed Ouda","CC BY-SA 3.0","B","3","rosca-scott.mp4","rosca-scott.webp"
"tr_ex_global_agachamento","agachamento-livre","Agachamento livre","Quadríceps","wikimedia","https://commons.wikimedia.org/wiki/File:Squat_-_exercise_demonstration_video.webm","FitnessScape","CC BY 3.0","A","2","agachamento-livre.mp4","agachamento-livre.webp"
"tr_ex_global_leg-press-horizontal","leg-press-horizontal","Leg press horizontal","Quadríceps","wikimedia","https://commons.wikimedia.org/wiki/File:Muscle_Strengthening_at_the_Gym_-_Seated_Leg_Press.webm","Centers for Disease Control and Prevention","Public domain","B","3","leg-press-horizontal.mp4","leg-press-horizontal.webp"
"tr_ex_global_levantamento-terra","levantamento-terra","Levantamento terra","Posteriores","wikimedia","https://commons.wikimedia.org/wiki/File:Deadlift_-_exercise_demonstration_video.webm","FitnessScape","CC BY 3.0","A","2","levantamento-terra.mp4","levantamento-terra.webp"
"tr_ex_global_elevacao-pernas","elevacao-pernas","Elevação de pernas","Core","wikimedia","https://commons.wikimedia.org/wiki/File:Leg_raises_-_exercise_demonstration_video.webm","FitnessScape","CC BY 3.0","A","2","elevacao-pernas.mp4","elevacao-pernas.webp"
