"public_id_efetivo","slug_catalogo","nome_oficial","grupamento","status","observacao"
"tr_ex_global_supino_reto","supino-reto-barra","Supino reto com barra","Peitoral","IMPLEMENTADA",""
"tr_ex_global_supino-inclinado-barra","supino-inclinado-barra","Supino inclinado com barra","Peitoral","IMPLEMENTADA",""
"tr_ex_global_supino-reto-halteres","supino-reto-halteres","Supino reto com halteres","Peitoral","IMPLEMENTADA",""
"tr_ex_global_supino-inclinado-halteres","supino-inclinado-halteres","Supino inclinado com halteres","Peitoral","IMPLEMENTADA",""
"tr_ex_global_crucifixo","crucifixo-reto-halteres","Crucifixo reto com halteres","Peitoral","IMPLEMENTADA",""
"tr_ex_global_crucifixo-inclinado-halteres","crucifixo-inclinado-halteres","Crucifixo inclinado com halteres","Peitoral","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_crossover-cabo","crossover-cabo","Crossover no cabo","Peitoral","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_peck-deck","peck-deck","Peck deck","Peitoral","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_chest-press-maquina","chest-press-maquina","Chest press máquina","Peitoral","IMPLEMENTADA",""
"tr_ex_global_flexao-bracos","flexao-bracos","Flexão de braços","Peitoral","IMPLEMENTADA",""
"tr_ex_global_puxada_frente","puxada-frontal-pronada","Puxada frontal pronada","Costas","IMPLEMENTADA",""
"tr_ex_global_puxada-frontal-neutra","puxada-frontal-neutra","Puxada frontal neutra","Costas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_barra-fixa","barra-fixa","Barra fixa","Costas","IMPLEMENTADA",""
"tr_ex_global_remada-curvada-barra","remada-curvada-barra","Remada curvada com barra","Costas","IMPLEMENTADA",""
"tr_ex_global_remada-unilateral-halter","remada-unilateral-halter","Remada unilateral com halter","Costas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_remada_baixa","remada-baixa-cabo","Remada baixa no cabo","Costas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_remada-articulada-maquina","remada-articulada-maquina","Remada articulada máquina","Costas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_remada-t-bar","remada-t-bar","Remada T-bar","Costas","IMPLEMENTADA",""
"tr_ex_global_pulldown-unilateral","pulldown-unilateral","Pulldown unilateral","Costas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_pullover-cabo","pullover-cabo","Pullover no cabo","Costas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_desenvolvimento","desenvolvimento-halteres","Desenvolvimento com halteres","Ombros","IMPLEMENTADA",""
"tr_ex_global_desenvolvimento-barra","desenvolvimento-barra","Desenvolvimento com barra","Ombros","IMPLEMENTADA",""
"tr_ex_global_desenvolvimento-maquina","desenvolvimento-maquina","Desenvolvimento máquina","Ombros","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_elevacao-lateral-halteres","elevacao-lateral-halteres","Elevação lateral com halteres","Ombros","IMPLEMENTADA",""
"tr_ex_global_elevacao-lateral-cabo","elevacao-lateral-cabo","Elevação lateral no cabo","Ombros","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_elevacao-lateral-maquina","elevacao-lateral-maquina","Elevação lateral máquina","Ombros","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_elevacao-frontal","elevacao-frontal","Elevação frontal","Ombros","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_crucifixo-inverso","crucifixo-inverso","Crucifixo inverso","Ombros","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_face-pull","face-pull","Face pull","Ombros","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_remada-alta","remada-alta","Remada alta","Ombros","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_rosca_direta","rosca-direta-barra","Rosca direta com barra","Bíceps","IMPLEMENTADA",""
"tr_ex_global_rosca-direta-ez","rosca-direta-ez","Rosca direta barra EZ","Bíceps","IMPLEMENTADA",""
"tr_ex_global_rosca-alternada","rosca-alternada","Rosca alternada","Bíceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_rosca-simultanea-halteres","rosca-simultanea-halteres","Rosca simultânea com halteres","Bíceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_rosca-martelo","rosca-martelo","Rosca martelo","Bíceps","IMPLEMENTADA",""
"tr_ex_global_rosca-scott","rosca-scott","Rosca Scott","Bíceps","IMPLEMENTADA",""
